Frames,Type,RMS,Range,Direction,X,Y,Z
Frame 1,M,,3422.001,,-1147.792,-201.101,-3217.488
Frame 1,M,,5341.55,,-1646.428,699.465,-5033.109
Frame 1,M,,6666.498,,-853.651,-108.584,-6610.725
Frame 1,M,,6202.443,,89.639,1333.911,-6056.645
Frame 1,M,,4498.123,,1108.45,-14.577,-4359.385
Frame 1,M,,8355.234,,-676.694,-842.931,-8285.016
Frame 1,F,,5761.645,,-1999.226,-14.246,-5403.651
Frame 1,F,,4597.339,,-1720.093,-777.746,-4191.887
Frame 1,F,,5045.149,,-1216.035,-794.388,-4831.535
Frame 1,F,,5084.919,,-1128.715,-430.959,-4939.3
Frame 1,F,,5200.768,,-942.322,-993.425,-5017.282
Frame 1,F,,4481.449,,-941.673,-608.427,-4338.946
Frame 1,F,,7911.279,,-764.289,-901.315,-7822.521
Frame 1,F,,5317.158,,292.785,-849.564,-5240.677
Frame 1,F,,5895.677,,1079.19,-1045.236,-5701.038
Frame 1,F,,4746.286,,309.25,-465.221,-4713.296
Frame 1,F,,4120.136,,996.704,-518.324,-3964.018
Frame 1,F,,4241.38,,-241.17,702.189,-4175.891
Frame 1,M,,6838.633,,-69.332,-831.625,-6787.525
Frame 2,M,,6946.071,,-2495.922,768.215,-6436.468
Frame 2,M,,6694.072,,-2189.589,684.936,-6288.653
Frame 2,M,,5357.418,,193.847,-1210.53,-5215.263
Frame 2,M,,6239.373,,-988.059,196.378,-6157.512
Frame 2,M,,7628.989,,-720.332,-232.559,-7591.345
Frame 2,M,,6695.507,,627.176,-709.002,-6628.256
Frame 2,M,,6470.704,,1380.835,-725.42,-6279.895
Frame 2,M,,5411.748,,1469.916,9.92,-5208.288
Frame 2,M,,7098.827,,-146.014,150.146,-7095.737
Frame 2,M,,7554.364,,-1249.228,1430.011,-7311.834
Frame 2,M,,8769.187,,-1315.604,1571.61,-8526.305
Frame 2,M,,7179.622,,441.68,1297.695,-7047.545
Frame 2,M,,8705.464,,1812.728,161.441,-8513.111
Frame 2,M,,9018.521,,-1792.906,572.623,-8819.938
Frame 2,M,,9280.584,,-1588.821,777.838,-9110.425
Frame 2,F,,8109.363,,2057.388,-425.348,-7832.497
Frame 2,F,,6810.166,,-372.308,1154.242,-6701.304
Frame 2,M,,7214.3,,-80.607,392.622,-7203.158
Frame 2,F,,5708.157,,-749.36,-1272.241,-5513.885
Frame 2,F,,6640.921,,-116.773,-694.687,-6603.454
Frame 2,F,,5754.9,,-411.897,-562.55,-5712.508
Frame 2,M,,6127.411,,-571.542,-835.859,-6043.165
Frame 2,F,,6446.148,,-681.711,-1152.151,-6305.604
Frame 2,F,,6351.19,,-661.854,-988.475,-6238.789
Frame 2,F,,5147.549,,-820.838,-782.378,-5021.092
Frame 2,F,,5963.285,,-902.371,-1026.723,-5804.51
Frame 2,M,,7802.088,,-292.8,-1014.088,-7730.36
Frame 2,F,,7238.955,,-515.245,-803.121,-7175.792
Frame 2,F,,6865.776,,-792.965,-484.112,-6802.626
Frame 2,F,,6437.565,,-462.544,-520.198,-6399.82
Frame 2,F,,6579.087,,-1120.295,-472.028,-6465.796
Frame 2,F,,4989.767,,-1150.496,-875.13,-4775.801
Frame 2,F,,5481.564,,-1595.018,-1064.007,-5135.305
Frame 2,F,,5650.216,,-1366.544,-725.359,-5434.276
Frame 2,F,,6333.963,,-1325.006,-312.398,-6185.94
Frame 2,F,,6537.305,,-1692.453,-415.159,-6300.762
Frame 2,F,,7439.828,,-2232.971,115.7,-7095.879
Frame 2,F,,6962.337,,-2299.405,378.59,-6560.758
Frame 2,G,,9482.419,,-3129.883,414.658,-8941.373
Frame 2,G,,8803.793,,-3041.092,133.59,-8260.792
Frame 2,G,,8582.691,,-3075.541,-127.239,-8011.707
Frame 2,G,,7671.665,,-2768.087,-299.605,-7148.592
Frame 2,G,,7498.086,,-2727.441,-475.787,-6968.212
Frame 2,G,,7372.561,,-2739.569,-644.767,-6814.227
Frame 2,G,,6572.466,,-2534.064,-761.917,-6016.254
Frame 2,G,,6250.9,,-2369.564,-947.985,-5706.158
Frame 2,G,,6291.272,,-2460.63,-1089.027,-5686.777
Frame 2,G,,6064.275,,-2302.155,-1180.904,-5484.613
Frame 2,G,,6236.934,,-2146.01,-1308.927,-5707.95
Frame 2,G,,6446.374,,-2218.012,-1172.658,-5938.101
Frame 2,G,,6441.472,,-2193.386,-977.731,-5977.095
Frame 2,G,,6192.292,,-1863.521,-1309.541,-5758.2
Frame 2,G,,6173.983,,-1868.088,-1155.279,-5770.065
Frame 2,G,,6361.431,,-1966.649,-1029.938,-5961.487
Frame 2,G,,6666.7,,-2104.841,-881.957,-6263.92
