Id,TL,SL,S,FL,W
6706,281,215,21.5,24.08,295
6701,294,227,22.7,25.42,342
6314,310,243,24.3,27.22,389
6559,330,255,25.5,28.56,500
6585,322,255,25.5,28.56,488
6648,358,260,26,29.12,496
6699,349,260,26,29.12,476
6616,375,273,27.3,30.58,554
6331,359,286,28.6,32.03,571
6646,408,286,28.6,32.03,735
6658,368,296,29.6,33.15,710
6578,433,310,31,34.72,905
6621,406,310,31,34.72,784
6562,383,313,31.3,35.06,1000
6271,420,315,31.5,35.28,745
5071,440,323,32.3,36.18,1030
6631,474,325,32.5,36.4,1017
6689,472,331,33.1,37.07,979
6523,497,350,35,39.2,1248
5070,552,362,36.2,40.54,1670
6342,510,366,36.6,40.99,1370
6427,557,370,37,41.44,1545
6272,550,375,37.5,42,1277
6619,588,378,37.8,42.34,1692
6633,603,380,38,42.56,1587
6620,635,395,39.5,44.24,1925
6632,640,395,39.5,44.24,1689
6335,655,405,40.5,45.36,2050
6630,643,420,42,47.04,2195
6652,725,433,43.3,48.5,2395
6403,685,442,44.2,49.5,2825
6334,650,470,47,52.64,2975
6341,750,487,48.7,54.54,3450
