Type	RMS	Range	Direction	X	Y	Z
G		7462.411		2167.448	-850.545	-7089.874
G		7476.314		1828.693	-1424.587	-7107.862
G		7008.367		1253.497	-1429.469	-6745.559
G		7660.893		1162.99	-1305.461	-7458.72
G		6404.985		724.133	-1242.449	-6241.457
G		6927.277		-360.616	-1213.269	-6810.661
G		6657.384		214.654	-1301.947	-6525.307
G		7122.686		-63.205	-759.708	-7081.773
G		6439.769		-783.184	-1416.971	-6232.932
G		7153.306		-1251.137	-1120.578	-6953.326
G		7225.333		-675.712	-663.975	-7162.959
G		7607.485		-646.347	-363.628	-7571.25
G		7340.178		-1550.346	-428.747	-7161.761
G		6706.489		-1572.133	-939.35	-6451.59
G		6709.326		-1783.832	-1380.395	-6318.822
G		6922.065		-2067.218	-834.505	-6553.258
G		6959.382		-839.541	-475.498	-6892.174
G		7779.247		-1716.208	260.92	-7583.089
G		7632.109		-1516.804	-72.264	-7479.516
G		10157.803		-1366.876	898.451	-10025.238
G		7964.496		-2628.334	25.187	-7518.273
G		8492.093		-2296.579	744.666	-8141.673
G		7271.452		1084.361	-822.707	-7142.922
G		7033.375		638.169	-1001.883	-6932.34
M		3850.712		1155.121	-593.185	-3625.163
M		4492.784		160.387	-703.364	-4434.486
M		5633.747		1044.173	-838.608	-5472.252
M		8353.943		2378.143	1288.889	-7903.896
M		4729.924		1014.151	753.842	-4558.004
M		5513.292		322.631	502.494	-5480.857
M		7175.177		-475.486	1520.764	-6996.025
M		8037.743		-687.833	1661.005	-7834.109
M		8300.076		-976.649	1682.582	-8068.849
M		6481.224		-2119.312	636.277	-6091.792
M		7551.997		-813.956	-216.997	-7504.868
M		7022.858		-2006.724	-370.619	-6719.839
M		7420.465		733.651	-164.391	-7382.278
M		7633.681		-9.567	78.934	-7633.267
M		5189.257		-2039.227	-382.709	-4756.414
M		6669.05		-286.321	-152.351	-6661.158
