	Type	Precision	RMS	Range	Direction	X	Y	Z
433	M	13510	1798	6016697	14842	1447461	-620937	-5806888
434	M	6376	7916	4105518	17262	1106094	-572458	-3912049
435	M	8777	3716	4906540	6806	581348	-89582	-4871155
436	M	6493	429	4076776	17513	811361	858665	-3901857
437	M	5340	2513	3807468	1316	56139	6887	-3807048
438	M	14902	5945	6233373	11514	-718801	919064	-6123201
439	M	20690	3113	7248351	14488	-1767579	-515834	-7010576
440	M	7267	1537	4220758	17642	-1254982	-311286	-4017825
441	M	9947	4588	5035339	20493	-1740085	207957	-4720540
442	M	9247	2855	4795431	12069	-642552	-843659	-4676700
